"location","city","country","distance","measurements__parameter","measurements__value","measurements__lastUpdated","measurements__unit","measurements__sourceName","measurements__averagingPeriod__value","measurements__averagingPeriod__unit","coordinates__latitude","coordinates__longitude"
"","","","","pm10","11.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","4","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","5.05","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"41MEU1 - MEUDON","Brussels","BE","3479815.9429166582","pm25","34.2","2017-03-13T12:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.8951","4.392718"
"","","","","pm10","8","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","4.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"41N043 - HAREN","Brussels","BE","3480489.3402546584","so2","12.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.88356","4.382963"
"","","","","no2","14.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","2.5","2017-07-20T19:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","2.35","2017-07-20T19:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","co","12","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","52","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"41R001 - MOLENBEEK","Brussels","BE","3483910.6247925353","no2","10","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.849667","4.33382"
"","","","","o3","49.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","15","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","co","11.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","12.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","4.6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"41R002 - IXELLES","Brussels","BE","3480316.9886825485","no2","30.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.825127","4.384719"
